id;amount;created_date;recovery_date;updated_date
1;11073;2024-02-01T11:02:58;2024-02-01T12:04:34;2024-02-01T01:13:53
2;46734;2024-02-01T18:44:30;2024-02-01T05:20:44;2024-01-31T23:24:33
3;55118;2024-01-31T21:05:52;2024-02-01T06:14:12;2024-02-01T00:49:15
4;55526;2024-02-01T17:39:11;2024-01-31T20:21:59;2024-02-01T07:10:49
5;62320;2024-02-01T06:26:25;2024-02-01T09:44:32;2024-02-01T02:42:26
6;54745;2024-02-01T13:43:23;2024-02-01T09:25:08;2024-02-01T06:05:09
7;77127;2024-02-01T18:03:36;2024-01-31T21:39:36;2024-02-01T05:36:32
8;42195;2024-01-31T22:30:25;2024-02-01T03:29:35;2024-02-01T12:16:15
9;46066;2024-02-01T03:40:50;2024-02-01T07:16:46;2024-01-31T22:54:04
10;11460;2024-01-31T22:21:40;2024-02-01T07:48:57;2024-01-31T22:07:41
