id;amount;created_date;recovery_date;updated_date
1;4825.55;2024-02-01T14:24:24;2024-02-02T06:05:08;2024-02-02T04:11:24
2;13211.28;2024-02-01T18:46:25;2024-02-01T17:22:33;2024-02-01T21:33:36
3;16750.22;2024-02-01T20:17:32;2024-02-01T10:25:18;2024-02-01T19:09:18
4;17649.52;2024-02-02T06:05:41;2024-02-01T20:23:41;2024-02-01T09:59:32
5;30116.3;2024-02-01T23:47:13;2024-02-01T10:20:26;2024-02-01T16:59:34
6;8381.69;2024-02-01T20:34:53;2024-02-01T12:02:43;2024-02-01T15:52:07
7;125.13;2024-02-01T23:52:19;2024-02-01T11:21:07;2024-02-01T14:30:03
8;29065.8;2024-02-01T20:11:40;2024-02-01T19:10:48;2024-02-01T22:43:21
9;16309.47;2024-02-02T00:06:54;2024-02-01T08:26:20;2024-02-01T14:47:54
10;24147.48;2024-02-01T09:46:54;2024-02-02T06:05:09;2024-02-02T02:33:31
