id;price;name;photo;photo_content_type;image_type;description;created_date;updated_date
1;30408.42;collègue devant groin groin;../fake-data/blob/hipster.png;image/png;rêver afin de;aligner groin groin;2024-02-01T10:32:18;2024-02-01T16:20:45
2;6719.6;au-devant;../fake-data/blob/hipster.png;image/png;de peur que de manière à ce que croâ;spécialiste;2024-02-01T09:02:59;2024-02-02T05:21:36
3;20703.02;trop;../fake-data/blob/hipster.png;image/png;citer donner;novice acquérir;2024-02-01T16:43:51;2024-02-02T02:19:23
4;32678.73;de façon à ce que de peur que;../fake-data/blob/hipster.png;image/png;épuiser ouille;loin;2024-02-01T18:20:22;2024-02-02T00:48:12
5;8420.91;candide;../fake-data/blob/hipster.png;image/png;jadis du moment que;écarter au-dedans de pff;2024-02-01T19:21:13;2024-02-02T06:53:35
6;26728.02;croâ;../fake-data/blob/hipster.png;image/png;enfin miam novice;au-dehors;2024-02-02T02:22:50;2024-02-01T09:45:40
7;7312.99;tranquille;../fake-data/blob/hipster.png;image/png;dans la mesure où de crainte que;de crainte que;2024-02-02T02:35:56;2024-02-02T01:25:44
8;12321.82;magnifique actionnaire;../fake-data/blob/hipster.png;image/png;franco;égoïste naguère;2024-02-01T20:39:37;2024-02-02T04:20:29
9;19057.45;occuper;../fake-data/blob/hipster.png;image/png;guère;environ;2024-02-02T04:54:24;2024-02-01T17:56:11
10;23504.59;debout areu areu porte-parole;../fake-data/blob/hipster.png;image/png;confier boum égoïste;hôte tellement communauté étudiante;2024-02-02T01:59:43;2024-02-02T01:33:45
