id;price;name;photo;photo_content_type;image_type;description;is_supplement;created_date;updated_date
1;18552.62;adversaire pin-pon lectorat;../fake-data/blob/hipster.png;image/png;juriste;au-delà débile;true;2024-02-01T23:37:21;2024-02-01T14:49:20
2;17917.66;clientèle sans que tout;../fake-data/blob/hipster.png;image/png;pff;ouille bien que;false;2024-02-01T20:46:56;2024-02-01T09:29:35
3;10028.72;ding dès que;../fake-data/blob/hipster.png;image/png;lâche;de façon à ce que parce que tant que;false;2024-02-02T02:01:03;2024-02-01T23:57:15
4;28180.8;moderne;../fake-data/blob/hipster.png;image/png;en bas de;du moment que jusque administration;false;2024-02-01T21:29:00;2024-02-01T22:41:24
5;27651.41;comme que secours;../fake-data/blob/hipster.png;image/png;du côté de avant;tellement trop étaler;false;2024-02-02T01:38:42;2024-02-01T09:45:12
6;17184.11;séculaire étant donné que si;../fake-data/blob/hipster.png;image/png;orange du côté de;autrement tic-tac;false;2024-02-01T23:46:51;2024-02-01T16:43:38
7;10344.79;hystérique;../fake-data/blob/hipster.png;image/png;cocorico hypocrite;pschitt souple;true;2024-02-02T01:19:39;2024-02-02T04:55:55
8;13706.75;connaître redevenir;../fake-data/blob/hipster.png;image/png;brusque;clac adepte;false;2024-02-01T19:21:56;2024-02-02T01:10:39
9;1344.76;derechef;../fake-data/blob/hipster.png;image/png;altruiste à côté de dynamique;atchoum dès que allonger;true;2024-02-02T01:14:59;2024-02-02T04:10:12
10;32676.55;bon d’autant que;../fake-data/blob/hipster.png;image/png;camarade;commissionnaire gai;true;2024-02-01T19:08:47;2024-02-02T01:48:39
